Parameter,Value,Unit,DUT_ID,Spec_Min,Spec_Max,Test_Condition
VOH,3.240108,V,DUT_001,2.4,,Flow1_Nominal
VOH,3.122201,V,DUT_002,2.4,,Flow1_Nominal
VOH,3.140377,V,DUT_003,2.4,,Flow1_Nominal
VOH,3.337611,V,DUT_004,2.4,,Flow1_Nominal
VOH,3.047855,V,DUT_005,2.4,,Flow1_Nominal
VOH,2.994901,V,DUT_006,2.4,,Flow1_Nominal
VOH,3.161225,V,DUT_007,2.4,,Flow1_Nominal
VOH,3.137222,V,DUT_008,2.4,,Flow1_Nominal
VOH,3.293615,V,DUT_009,2.4,,Flow1_Nominal
VOH,3.136678,V,DUT_010,2.4,,Flow1_Nominal
VOH,2.838585,V,DUT_011,2.4,,Flow1_Nominal
VOH,3.091201,V,DUT_012,2.4,,Flow1_Nominal
VOH,3.227685,V,DUT_013,2.4,,Flow1_Nominal
VOH,3.483423,V,DUT_014,2.4,,Flow1_Nominal
VOH,2.966256,V,DUT_015,2.4,,Flow1_Nominal
VOH,3.061197,V,DUT_016,2.4,,Flow1_Nominal
VOH,2.87911,V,DUT_017,2.4,,Flow1_Nominal
VOH,2.961244,V,DUT_018,2.4,,Flow1_Nominal
VOH,3.197459,V,DUT_019,2.4,,Flow1_Nominal
VOH,3.103982,V,DUT_020,2.4,,Flow1_Nominal
VOH,3.068448,V,DUT_021,2.4,,Flow1_Nominal
VOH,3.00662,V,DUT_022,2.4,,Flow1_Nominal
VOH,3.223254,V,DUT_023,2.4,,Flow1_Nominal
VOH,3.282543,V,DUT_024,2.4,,Flow1_Nominal
VOH,3.077037,V,DUT_025,2.4,,Flow1_Nominal
VOL,0.257421,V,DUT_001,,0.4,Flow1_Nominal
VOL,0.224709,V,DUT_002,,0.4,Flow1_Nominal
VOL,0.122558,V,DUT_003,,0.4,Flow1_Nominal
VOL,0.129064,V,DUT_004,,0.4,Flow1_Nominal
VOL,0.145011,V,DUT_005,,0.4,Flow1_Nominal
VOL,0.11104,V,DUT_006,,0.4,Flow1_Nominal
VOL,0.216032,V,DUT_007,,0.4,Flow1_Nominal
VOL,0.138739,V,DUT_008,,0.4,Flow1_Nominal
VOL,0.070798,V,DUT_009,,0.4,Flow1_Nominal
VOL,0.123138,V,DUT_010,,0.4,Flow1_Nominal
VOL,0.123016,V,DUT_011,,0.4,Flow1_Nominal
VOL,0.125128,V,DUT_012,,0.4,Flow1_Nominal
VOL,0.121055,V,DUT_013,,0.4,Flow1_Nominal
VOL,0.134709,V,DUT_014,,0.4,Flow1_Nominal
VOL,0.198145,V,DUT_015,,0.4,Flow1_Nominal
VOL,0.164258,V,DUT_016,,0.4,Flow1_Nominal
VOL,0.124723,V,DUT_017,,0.4,Flow1_Nominal
VOL,0.250044,V,DUT_018,,0.4,Flow1_Nominal
VOL,0.16456,V,DUT_019,,0.4,Flow1_Nominal
VOL,0.284134,V,DUT_020,,0.4,Flow1_Nominal
VOL,0.127534,V,DUT_021,,0.4,Flow1_Nominal
VOL,0.2765,V,DUT_022,,0.4,Flow1_Nominal
VOL,0.112275,V,DUT_023,,0.4,Flow1_Nominal
VOL,0.192881,V,DUT_024,,0.4,Flow1_Nominal
VOL,0.17129,V,DUT_025,,0.4,Flow1_Nominal
VIH,2.449814,V,DUT_001,2.0,,Flow1_Nominal
VIH,2.237011,V,DUT_002,2.0,,Flow1_Nominal
VIH,2.227907,V,DUT_003,2.0,,Flow1_Nominal
VIH,2.241019,V,DUT_004,2.0,,Flow1_Nominal
VIH,2.275428,V,DUT_005,2.0,,Flow1_Nominal
VIH,2.113716,V,DUT_006,2.0,,Flow1_Nominal
VIH,2.161692,V,DUT_007,2.0,,Flow1_Nominal
VIH,2.430773,V,DUT_008,2.0,,Flow1_Nominal
VIH,2.290749,V,DUT_009,2.0,,Flow1_Nominal
VIH,2.288817,V,DUT_010,2.0,,Flow1_Nominal
VIH,2.256791,V,DUT_011,2.0,,Flow1_Nominal
VIH,2.20081,V,DUT_012,2.0,,Flow1_Nominal
VIH,2.30951,V,DUT_013,2.0,,Flow1_Nominal
VIH,2.242304,V,DUT_014,2.0,,Flow1_Nominal
VIH,2.468207,V,DUT_015,2.0,,Flow1_Nominal
VIH,2.334394,V,DUT_016,2.0,,Flow1_Nominal
VIH,2.283102,V,DUT_017,2.0,,Flow1_Nominal
VIH,2.450962,V,DUT_018,2.0,,Flow1_Nominal
VIH,2.465179,V,DUT_019,2.0,,Flow1_Nominal
VIH,2.238069,V,DUT_020,2.0,,Flow1_Nominal
VIH,2.279692,V,DUT_021,2.0,,Flow1_Nominal
VIH,2.347191,V,DUT_022,2.0,,Flow1_Nominal
VIH,2.227147,V,DUT_023,2.0,,Flow1_Nominal
VIH,2.356049,V,DUT_024,2.0,,Flow1_Nominal
VIH,2.259138,V,DUT_025,2.0,,Flow1_Nominal
VIL,0.552763,V,DUT_001,,0.8,Flow1_Nominal
VIL,0.680372,V,DUT_002,,0.8,Flow1_Nominal
VIL,0.543125,V,DUT_003,,0.8,Flow1_Nominal
VIL,0.635692,V,DUT_004,,0.8,Flow1_Nominal
VIL,0.616391,V,DUT_005,,0.8,Flow1_Nominal
VIL,0.500362,V,DUT_006,,0.8,Flow1_Nominal
VIL,0.570764,V,DUT_007,,0.8,Flow1_Nominal
VIL,0.656379,V,DUT_008,,0.8,Flow1_Nominal
VIL,0.544392,V,DUT_009,,0.8,Flow1_Nominal
VIL,0.549664,V,DUT_010,,0.8,Flow1_Nominal
VIL,0.717573,V,DUT_011,,0.8,Flow1_Nominal
VIL,0.60111,V,DUT_012,,0.8,Flow1_Nominal
VIL,0.432901,V,DUT_013,,0.8,Flow1_Nominal
VIL,0.429245,V,DUT_014,,0.8,Flow1_Nominal
VIL,0.501781,V,DUT_015,,0.8,Flow1_Nominal
VIL,0.575662,V,DUT_016,,0.8,Flow1_Nominal
VIL,0.411776,V,DUT_017,,0.8,Flow1_Nominal
